forecast_horizon_months,feature_set,model_id,n_predictions,n_countries,date_min,date_max,rmse,mae,bias,corr,directional_accuracy,active_directional_accuracy,predicted_positive_rate,actual_positive_rate,mean_actual_return,mean_predicted_return,strategy_mean_monthly_return,strategy_monthly_vol,strategy_annualized_sharpe,rmse_improvement_vs_historical_mean
2,no_gnc,always_positive,8233,19,2020-01-01,2026-03-01,0.9881043689531614,0.9845312158090165,0.9845312158090165,,0.611320296368274,0.611320296368274,1.0,0.611320296368274,0.01546878419098355,1.0,0.01546878419098355,0.08395551823403416,0.6382598955655168,-10.626628072852426
3,no_gnc,random_forest_panel,8182,19,2020-01-01,2026-02-01,0.09648663832448244,0.07288084855746495,-0.013414283310391063,0.3196620927768014,0.6352969934001467,0.6352969934001467,0.7384502566609631,0.6101197751161085,0.023796784247963186,0.010382500937572123,0.032919769281652564,0.09776457074991106,1.1664494106996182,0.05373089929946506
3,no_gnc,distributed_lag,8182,19,2020-01-01,2026-02-01,0.09785291143501514,0.07431173951644715,-0.015887508168279375,0.2956175525171774,0.6372525054998778,0.6372525054998778,0.6829626008310926,0.6101197751161085,0.023796784247963186,0.00790927607968381,0.03119755746814361,0.09832769147851218,1.0990953574595652,0.04033151001545632
3,no_gnc,ols_predictive,8182,19,2020-01-01,2026-02-01,0.09964891002856217,0.07555016043444358,-0.016116479400976484,0.20107742569061485,0.6044976778293816,0.6044976778293816,0.6546076753849914,0.6101197751161085,0.023796784247963186,0.007680304846986702,0.02262021924467041,0.10064764371208419,0.7785451812899699,0.02271769318560879
3,no_gnc,elastic_net_panel,8182,19,2020-01-01,2026-02-01,0.10068662539592975,0.07652082426684154,-0.01617711706493836,0.14127497403409933,0.5970422879491567,0.5970422879491567,0.67941823515033,0.6101197751161085,0.023796784247963186,0.007619667183024829,0.0207008089310185,0.10105987835473118,0.7095764097487863,0.012540553588727632
3,no_gnc,historical_mean,8182,19,2020-01-01,2026-02-01,0.10196532704391612,0.07767421258923997,-0.01669912076228326,0.06523088071834848,0.560865314104131,0.560865314104131,0.6601075531654852,0.6101197751161085,0.023796784247963186,0.007097663485679928,0.01192996150988596,0.102466084739509,0.4033197817598708,0.0
3,no_gnc,always_positive,8182,19,2020-01-01,2026-02-01,0.9813501179536003,0.976203215752037,0.976203215752037,,0.6101197751161085,0.6101197751161085,1.0,0.6101197751161085,0.023796784247963186,1.0,0.023796784247963186,0.10037597104350966,0.8212570986010319,-8.624351202550805
4,no_gnc,random_forest_panel,8096,19,2020-01-01,2026-01-01,0.10533123014364768,0.08128141174757178,-0.021405977246638893,0.34121355463237707,0.6835474308300395,0.6835474308300395,0.7470355731225297,0.6539031620553359,0.03529772429351291,0.01389174704687402,0.04218486928330002,0.10667028542251615,1.3699473404409652,0.062385452774551764
4,no_gnc,distributed_lag,8096,19,2020-01-01,2026-01-01,0.10882464304100803,0.0846094073039825,-0.025471811642388716,0.25081544931650246,0.6414278656126482,0.6414278656126482,0.6686017786561265,0.6539031620553359,0.03529772429351291,0.009825912651124197,0.03353712878548884,0.10969673642089679,1.0590654360685583,0.03128855257161034
4,no_gnc,ols_predictive,8096,19,2020-01-01,2026-01-01,0.1102253093304131,0.08547350732493823,-0.025741319986123928,0.1901218764518909,0.620306324110672,0.620306324110672,0.6450098814229249,0.6539031620553359,0.03529772429351291,0.009556404307388983,0.027263482865404486,0.11142179091460507,0.8476212260913194,0.0188204072080419
4,no_gnc,elastic_net_panel,8096,19,2020-01-01,2026-01-01,0.11113050616186351,0.08639096959665493,-0.025767368937117948,0.14377512438081244,0.6169713438735178,0.6169713438735178,0.6779891304347826,0.6539031620553359,0.03529772429351291,0.009530355356394961,0.02506137935005131,0.11193766235562987,0.775567068823341,0.010762723688037212
4,no_gnc,historical_mean,8096,19,2020-01-01,2026-01-01,0.11233958608613707,0.0874494976421446,-0.02619825740599181,0.09051245354664667,0.5851037549407114,0.5851037549407114,0.6641551383399209,0.6539031620553359,0.03529772429351291,0.009099466887521106,0.018277909163837213,0.11324323831986034,0.5591197814120205,0.0
4,no_gnc,always_positive,8096,19,2020-01-01,2026-01-01,0.9708566652197143,0.964702275706487,0.964702275706487,,0.6539031620553359,0.6539031620553359,1.0,0.6539031620553359,0.03529772429351291,1.0,0.03529772429351291,0.1091429505202664,1.1203188401356292,-7.642159892553849
5,no_gnc,random_forest_panel,7979,19,2020-01-01,2025-12-01,0.11581674609153517,0.09143609263519276,-0.02828057287048703,0.35038728879139314,0.6760245644817646,0.6760245644817646,0.7524752475247525,0.6779044993106905,0.04446940029771296,0.01618882742722592,0.049139166158717135,0.1173823078875032,1.4501594654287493,0.06846129957797964
5,no_gnc,distributed_lag,7979,19,2020-01-01,2025-12-01,0.12132999426672413,0.09600173780357642,-0.033777967406870744,0.2114706459016779,0.626268956009525,0.626268956009525,0.6601077829301918,0.6779044993106905,0.04446940029771296,0.010691432890842218,0.034349488671298695,0.12252908423631889,0.9711173467673065,0.02411707291355114
5,no_gnc,ols_predictive,7979,19,2020-01-01,2025-12-01,0.12267056085366008,0.09681101128614442,-0.034104090192731154,0.1649096211445726,0.6059656598571249,0.6059656598571249,0.6212557964657225,0.6779044993106905,0.04446940029771296,0.010365310104981798,0.028380099475387496,0.12404770779638663,0.7925301497052222,0.013334610978067873
5,no_gnc,elastic_net_panel,7979,19,2020-01-01,2025-12-01,0.12323074127447045,0.09751944229416216,-0.03406039835708241,0.13488966131485877,0.6108534904123324,0.6108534904123324,0.652713372603083,0.6779044993106905,0.04446940029771296,0.010409001940630542,0.028872572462424917,0.12393400830753692,0.8070224328747506,0.008828960812494069
5,no_gnc,historical_mean,7979,19,2020-01-01,2025-12-01,0.1243284321296217,0.09835461785408768,-0.034381538574651635,0.09652103485243445,0.5854117057275348,0.5854117057275348,0.640305802732172,0.6779044993106905,0.04446940029771296,0.010087861723061316,0.021956708974628633,0.1253441932710649,0.6068112852873482,0.0
5,no_gnc,always_positive,7979,19,2020-01-01,2025-12-01,0.962940529451505,0.955530599702287,0.955530599702287,,0.6779044993106905,0.6779044993106905,1.0,0.6779044993106905,0.04446940029771296,1.0,0.04446940029771296,0.11922976261375504,1.2920139906220285,-6.745135307807689
